mls_number,city,address,postal_code,price,price_numeric,property_type,building_type,bedrooms,bathrooms,size_interior,size_exterior,lot_size,year_built,parking_type,parking_spaces,ownership_type,heating_type,cooling_type,basement_type,agent_name,brokerage,time_on_realtor,annual_tax,tax_account_id,assessed_value_2025,assessed_value_2026,taxable_assessment_2025,taxable_assessment_2026,tax_municipal_2025,tax_municipal_2026,tax_education_2025,tax_education_2026,tax_library_2025,tax_library_2026,tax_total_2025,tax_total_2026,tax_property_class,tax_property_type,tax_lot_size_sqft,tax_ward,tax_valuation_approach
SK024190,Regina,"4040 Donald STREET|Regina, Saskatchewan S4S0L3",S4S0L3,"$12,500",12500,"Vacant Land",Unknown,,,,,"3125 sqft",,,,Freehold,,,,"Shirley A MacFarlane","Global Direct Realty Inc.",,"$105 (CAD)",10268894,10400,10400,5700,5700,7.25,3.62,0.21,0.10,0.63,0.32,105.69,111.50,"Other Agricultural (100.00%)","Urban Holding",3123,2,Cost
SK018744,Regina,"691 Montague STREET|Regina, Saskatchewan S4T3G8",S4T3G8,"$12,000",12000,"Vacant Land",Unknown,,,,,"3123 sqft",,,,Freehold,,,,"Joshua Rees","Realty Executives Diversified Realty",,"$240 (CAD)",10021550,14000,14000,11200,11200,108.96,120.83,47.82,47.82,9.79,10.70,240.07,252.85,"Residential (100.00%)",Residential,3123,8,Cost
SK017154,Regina,"754 Rae STREET|Regina, Saskatchewan S4T2A9",S4T2A9,"$12,000",12000,"Vacant Land",Unknown,,,,,"3126 sqft",,,,Freehold,,,,"Caitlyn Shamaya","Realty Executives Diversified Realty",,"$226 (CAD)",10022003,14000,14000,11200,11200,99.88,120.83,43.83,47.82,8.97,10.70,226.18,252.85,"Residential (100.00%)",Residential,3126,8,Cost
SK028466,Regina,"4113 Ellice STREET|Regina, Saskatchewan S4W0L3",S4W0L3,"$10,500",10500,"Vacant Land",Unknown,,,,,"3125 sqft",,,,Freehold,,,,"Shirley A MacFarlane","Global Direct Realty Inc.",,"$17 (CAD)",10353612,10400,10400,5700,5700,1.19,0.60,0.05,0.03,0.13,0.07,17.16,18.08,"Other Agricultural (100.00%)","Urban Holding",3122,2,Cost
SK025583,Saskatoon,"310 Valley ROAD|Corman Park Rm No. 344, Saskatchewan S7K3J6",S7K3J6,"$12,900,000",12900000,Agriculture,Unknown,,0,"1449 sqft",,"395.07 ac",2006,,,,,,,"Steve LeBlanc","Marcel LeBlanc Real Estate Inc.",,,,,,,,,,,,,,,,,,,,
SK024685,Saskatoon,"412 B AVENUE N|Saskatoon, Saskatchewan S7L1E4",S7L1E4,"$4,750,000",4750000,Multi-family,Multi-Family,,,,,"27965 sqft",,,,Freehold,,,,"Jason Wionzek","Colliers McClocklin Real Estate Corp.",,,,,,,,,,,,,,,,,,,,
SK025049,Saskatoon,"1919 22nd STREET W|Saskatoon, Saskatchewan S7M0T8",S7M0T8,"$4,185,000",4185000,Multi-family,Multi-Family,,,,,"21003 sqft",,,,Freehold,,,,"Earl Cooper","RE/MAX Bridge City Realty",,,5301336,,,,,,,,,,,,,,,21003,,
SK028486,Saskatoon,"6000 8th STREET E|Saskatoon, Saskatchewan S7V0S4",S7V0S4,"$3,500,000",3500000,"Vacant Land",,,,,,"80 ac",,,,Freehold,,,,"Jim Kelley","LPT Realty",,"$1,512 (CAD)",,,,,,,,,,,,,,,,,,
SK027522,Saskatoon,"1007 10th STREET E|Saskatoon, Saskatchewan S7H0H8",S7H0H8,"$2,550,000",2550000,Multi-family,Multi-Family,,,,,"10484 sqft",1969,,,Freehold,"Hot Water",,,"Mitch Fuchs","Colliers McClocklin Real Estate Corp.",,"$21,050 (CAD)",5389312,,,,,,,,,,,,,,,10484,,
SK026969,Saskatoon,"407 3rd AVENUE N|Saskatoon, Saskatchewan S7K2J2",S7K2J2,"$2,500,000",2500000,Multi-family,Multi-Family,,,,,"12598 sqft",1910,,,Freehold,"(Natural gas)",,,"Kyle Reid","Colliers McClocklin Real Estate Corp.",,"$20,653 (CAD)",,,,,,,,,,,,,,,,,,
